B,nh,N,Q_size,naive,flash,speedup
8,8,64,1,35.453,1.633,21.71034905
16,8,64,2,92.373,2.265,40.78278146
32,8,64,4,271.939,3.898,69.76372499
8,12,64,5,61.877,2.133,29.00937647
16,12,64,3,172.767,3.698,46.71903732
32,12,64,6,761.779,6.31,120.7256735
8,16,64,2,92.256,2.233,41.31482311
16,16,64,4,271.753,3.9,69.68025641
32,16,64,8,1371.692,7.317,187.466448
8,12,128,3,172.713,4.527,38.15175613
16,12,128,6,761.084,7.605,100.0767916
8,8,256,4,271.844,11.909,22.82676967
8,12,256,8,760.416,15.596,48.75711721
8,16,256,6,1370.271,16.026,85.50299513
16,8,256,8,1369.055,15.831,86.47937591
